Date/Time;Profile;Account;Instrument;Position;Quantity;Average Price;Realized P/L
12/9/2020 8:22:00 AM;CQG;132313;MGCG21;Long;1;1,858.60;$0.00
12/9/2020 8:21:54 AM;CQG;132313;MGCG21;Flat;0;;$3.00
12/9/2020 8:19:04 AM;CQG;132313;MGCG21;Long;1;1,858.60;$0.00
12/9/2020 6:47:07 AM;CQG;132313;MESZ20;Long;1;3,706.00;$0.00
12/9/2020 6:00:09 AM;CQG;132313;MNQZ20;Flat;0;;-$4.50
12/9/2020 5:56:53 AM;CQG;132313;MNQZ20;Long;1;12,626.25;$0.00
12/9/2020 5:41:34 AM;CQG;132313;MGCG21;Flat;0;;-$13.00
12/9/2020 5:40:55 AM;CQG;132313;MGCG21;Long;1;1,859.60;$0.00
12/9/2020 4:39:47 AM;CQG;132313;MNQZ20;Flat;0;;-$9.00
12/9/2020 4:36:09 AM;CQG;132313;MNQZ20;Long;1;12,633.25;$0.00
12/9/2020 4:30:35 AM;CQG;132313;MNQZ20;Flat;0;;$11.00
12/9/2020 4:24:58 AM;CQG;132313;MNQZ20;Long;1;12,627.75;$0.00
12/8/2020 9:52:59 AM;CQG;132313;MESZ20;Flat;0;;$0.00
12/8/2020 9:52:20 AM;CQG;132313;MESZ20;Short;-1;3,687.25;$0.00
12/8/2020 9:08:16 AM;CQG;132313;MNQZ20;Flat;0;;$77.00
12/8/2020 8:49:51 AM;CQG;132313;MNQZ20;Long;1;12,527.75;$0.00
12/8/2020 5:32:20 AM;CQG;132313;MNQZ20;Flat;0;;-$7.50
12/8/2020 5:31:49 AM;CQG;132313;MNQZ20;Long;1;12,555.00;$0.00
12/8/2020 5:31:48 AM;CQG;132313;MNQZ20;Flat;0;;$1.50
12/8/2020 5:20:31 AM;CQG;132313;MNQZ20;Long;1;12,555.00;$0.00
12/7/2020 10:25:55 AM;CQG;132313;ENQZ20;Flat;0;;-$350.00
12/7/2020 9:48:26 AM;CQG;132313;ENQZ20;Long;1;12,591.25;0
12/3/2020 9:54:12 AM;CQG;132313;GCEG21;Flat;0;;$10.00
12/3/2020 9:03:37 AM;CQG;132313;GCEG21;Long;1;1,835.70;$0.00
12/3/2020 4:29:06 AM;CQG;132313;ENQZ20;Flat;0;;$10.00
12/3/2020 4:27:55 AM;CQG;132313;ENQZ20;Long;1;12,468.50;$0.00
12/3/2020 4:08:21 AM;CQG;132313;ENQZ20;Flat;0;;-$350.00
12/3/2020 3:38:27 AM;CQG;132313;ENQZ20;Long;1;12,468.50;$0.00
11/30/2020 2:38:03 AM;CQG;132313;EPZ20;Flat;0;;$487.50
11/30/2020 2:16:26 AM;CQG;132313;EPZ20;Long;1;3,612.00;$0.00
11/25/2020 8:26:17 AM;CQG;132313;EPZ20;Flat;0;;$0.00
11/25/2020 7:32:23 AM;CQG;132313;EPZ20;Long;1;3,631.50;$0.00
11/25/2020 7:18:11 AM;CQG;132313;EPZ20;Flat;0;;$287.50
11/25/2020 7:15:38 AM;CQG;132313;EPZ20;Long;1;3,632.00;$0.00
11/25/2020 3:28:36 AM;CQG;132313;ENQZ20;Flat;0;;$125.00
11/25/2020 3:00:40 AM;CQG;132313;ENQZ20;Long;1;12,107.00;$0.00
11/23/2020 7:55:13 AM;CQG;132313;GCEZ20;Flat;0;;$20.00
11/23/2020 7:42:08 AM;CQG;132313;ENQZ20;Flat;0;;$260.00
11/23/2020 7:32:45 AM;CQG;132313;GCEZ20;Long;1;1,863.20;$0.00
11/23/2020 7:25:54 AM;CQG;132313;GCEZ20;Flat;0;;$310.00
11/23/2020 6:42:16 AM;CQG;132313;GCEZ20;Long;1;1,864.20;$0.00
11/23/2020 5:32:15 AM;CQG;132313;MESZ20;Flat;0;;-$23.75
11/23/2020 5:31:47 AM;CQG;132313;EPZ20;Flat;0;;-$237.50
11/23/2020 4:30:01 AM;CQG;132313;GCEZ20;Flat;0;;$260.00
11/23/2020 4:30:01 AM;CQG;132313;MGCZ20;Flat;0;;-$28.00
11/23/2020 4:03:34 AM;CQG;132313;MGCZ20;Long;1;1,867.40;$0.00
11/23/2020 4:03:04 AM;CQG;132313;GCEZ20;Long;1;1,867.30;$0.00
11/23/2020 3:55:02 AM;CQG;132313;MESZ20;Long;1;3,577.25;$0.00
11/23/2020 3:55:02 AM;CQG;132313;EPZ20;Long;1;3,577.25;$0.00
11/23/2020 1:56:11 AM;CQG;132313;ENQZ20;Long;1;11,946.00;$0.00
11/20/2020 12:31:30 PM;CQG;132313;MESZ20;Flat;0;;-$18.75
11/20/2020 9:54:28 AM;CQG;132313;MESZ20;Long;1;3,568.00;$0.00
11/20/2020 6:28:31 AM;CQG;132313;GCEZ20;Flat;0;;-$30.00
11/20/2020 6:28:26 AM;CQG;132313;MGCZ20;Flat;0;;$1.00
11/20/2020 5:22:10 AM;CQG;132313;MGCZ20;Long;1;1,863.50;$0.00
11/20/2020 5:22:02 AM;CQG;132313;GCEZ20;Long;1;1,863.30;$0.00
11/18/2020 11:39:17 PM;CQG;132313;ENQZ20;Flat;0;;$450.00
11/18/2020 11:35:33 PM;CQG;132313;ENQZ20;Long;1;11,859.75;$0.00
11/18/2020 11:23:22 PM;CQG;132313;ENQZ20;Flat;0;;-$155.00
11/18/2020 11:17:20 PM;CQG;132313;ENQZ20;Long;1;11,859.75;$0.00
11/18/2020 8:03:09 AM;CQG;132313;ENQZ20;Flat;0;;$220.00
11/18/2020 8:03:09 AM;CQG;132313;MNQZ20;Flat;0;;-$21.50
11/18/2020 7:47:51 AM;CQG;132313;ENQZ20;Long;1;11,988.00;$0.00
11/18/2020 7:47:46 AM;CQG;132313;MNQZ20;Long;1;11,988.00;$0.00
11/17/2020 3:51:35 PM;CQG;132313;ENQZ20;Flat;0;;$175.00
11/17/2020 2:42:47 PM;CQG;132313;ENQZ20;Long;1;11,968.75;$0.00
11/17/2020 8:52:02 AM;CQG;132313;EPZ20;Flat;0;;$300.00
11/17/2020 8:50:23 AM;CQG;132313;EPZ20;Long;1;3,596.00;$0.00
11/17/2020 8:43:46 AM;CQG;132313;MESZ20;Flat;0;;-$21.25
11/17/2020 8:43:46 AM;CQG;132313;EPZ20;Flat;0;;-$212.50
